 < 23:02:44 >  40 40,8088645935059 44,9652786254883 
 < 23:02:45 >  40 40,4920654296875 44,9652786254883 
 < 23:02:46 >  40 39,9947280883789 44,994213104248 
 < 23:02:47 >  40 39,671630859375 44,994213104248 
 < 23:02:48 >  40 39,179874420166 45,0231475830078 
 < 23:02:49 >  40 38,7017822265625 45,0520820617676 
 < 23:02:50 >  40 38,2156524658203 45,0810165405273 
 < 23:02:51 >  40 37,9023246765137 45,0810165405273 
 < 23:02:52 >  40 37,3976402282715 45,1099548339844 
 < 23:02:53 >  40 36,8864860534668 45,1388893127441 
 < 23:02:54 >  40 36,5688629150391 45,1388893127441 
 < 23:02:55 >  40 36,0809326171875 45,1678237915039 
 < 23:02:56 >  40 35,7344284057617 45,1678237915039 
 < 23:02:57 >  40 35,3840560913086 45,1678237915039 
 < 23:02:58 >  40 34,878490447998 45,1967582702637 
 < 23:02:59 >  40 34,3894577026367 45,2256927490234 
 < 23:03:00 >  40 34,2219505310059 45,1967582702637 
 < 23:03:01 >  40 33,6987152099609 45,2256927490234 
 < 23:03:02 >  40 33,2060546875 45,2546272277832 
 < 23:03:03 >  40 32,5453033447266 45,3125 
 < 23:03:04 >  40 32,2199516296387 45,3125 
 < 23:03:05 >  40 31,7136383056641 45,3414344787598 
 < 23:03:06 >  40 31,1948547363281 45,3703689575195 
 < 23:03:07 >  40 30,7069034576416 45,3993034362793 
 < 23:03:08 >  40 30,3605976104736 45,3993034362793 
 < 23:03:09 >  40 29,9952602386475 45,3993034362793 
 < 23:03:10 >  40 29,4857769012451 45,4282417297363 
 < 23:03:11 >  40 28,9834365844727 45,4571762084961 
 < 23:03:12 >  40 28,4743099212646 45,4861106872559 
 < 23:03:13 >  40 28,1090145111084 45,4861106872559 
 < 23:03:14 >  40 27,5896072387695 45,5150451660156 
 < 23:03:15 >  40 27,2241363525391 45,5150451660156 
 < 23:03:16 >  40 27,0007648468018 45,4861106872559 
 < 23:03:17 >  40 26,6219863891602 45,4861106872559 
 < 23:03:18 >  40 26,2448768615723 45,4861106872559 
 < 23:03:19 >  40 26,0157241821289 45,4571762084961 
 < 23:03:20 >  40 25,638858795166 45,4571762084961 
 < 23:03:21 >  40 25,5767631530762 45,3993034362793 
 < 23:03:22 >  40 25,1781101226807 45,3993034362793 
 < 23:03:23 >  40 24,8075466156006 45,3993034362793 
 < 23:03:24 >  40 24,6086959838867 45,3703689575195 
 < 23:03:25 >  40 24,2203426361084 45,3703689575195 
 < 23:03:26 >  40 23,8474903106689 45,3703689575195 
 < 23:03:27 >  40 23,6504020690918 45,3414344787598 
 < 23:03:28 >  40 23,2572002410889 45,3414344787598 
 < 23:03:29 >  40 22,8859825134277 45,3414344787598 
 < 23:03:30 >  40 22,6717433929443 45,3125 
 < 23:03:31 >  40 22,307710647583 45,3125 
 < 23:03:32 >  40 21,9471569061279 45,3125 
 < 23:03:33 >  40 21,7543849945068 45,2835655212402 
 < 23:03:34 >  40 21,2243576049805 45,3125 
 < 23:03:35 >  40 20,8590984344482 45,3125 
 < 23:03:36 >  40 20,4868297576904 45,3125 
 < 23:03:37 >  40 20,4546489715576 45,2546272277832 
 < 23:03:38 >  40 19,9234886169434 45,2835655212402 
 < 23:03:39 >  40 19,5674858093262 45,2835655212402 
 < 23:03:40 >  40 19,0415630340576 45,3125 
 < 23:03:41 >  40 18,8697357177734 45,2835655212402 
 < 23:03:42 >  40 18,3444175720215 45,3125 
 < 23:03:43 >  40 17,994234085083 45,3125 
 < 23:03:44 >  40 17,6343326568604 45,3125 
 < 23:03:45 >  40 17,2739715576172 45,3125 
 < 23:03:46 >  40 16,9234981536865 45,3125 
 < 23:03:47 >  40 16,4122753143311 45,3414344787598 
