 < 17:08:42 >  438,414245605469 23,7703495025635 440 
 < 17:08:43 >  438,414245605469 23,6548366546631 440 
 < 17:08:44 >  438,414245605469 23,6548366546631 440 
 < 17:08:45 >  438,815032958984 23,5134983062744 440 
 < 17:08:46 >  439,068939208984 23,1236095428467 440 
 < 17:08:47 >  439,068939208984 23,1236095428467 440 
 < 17:08:48 >  439,068939208984 23,1236095428467 440 
 < 17:08:49 >  439,314392089844 23,0850429534912 440 
 < 17:08:50 >  439,371185302734 23,0884246826172 440 
 < 17:08:51 >  439,371185302734 23,0884246826172 440 
 < 17:08:52 >  439,064666748047 23,053804397583 440 
 < 17:08:53 >  439,064666748047 23,053804397583 440 
 < 17:08:54 >  439,064666748047 23,053804397583 440 
 < 17:08:55 >  438,809600830078 23,2664318084717 440 
 < 17:08:56 >  438,637329101563 23,5806579589844 440 
 < 17:08:57 >  438,637329101563 23,5806579589844 440 
 < 17:08:58 >  437,968139648438 23,6599197387695 440 
 < 17:08:59 >  437,968139648438 23,6599197387695 440 
 < 17:09:00 >  437,968139648438 23,6599197387695 440 
 < 17:09:01 >  437,71484375 23,9600124359131 440 
 < 17:09:03 >  437,655609130859 24,3568267822266 440 
 < 17:09:04 >  437,655609130859 24,3568267822266 440 
 < 17:09:05 >  437,887176513672 24,3568267822266 440 
 < 17:09:06 >  437,887176513672 23,9198417663574 440 
