 < 15:56:43 >  402,991882324219 17,890811920166 400 
 < 15:56:44 >  403,685821533203 17,5089359283447 400 
 < 15:56:45 >  403,685821533203 17,5089359283447 400 
 < 15:56:46 >  403,685821533203 17,5435905456543 400 
 < 15:56:47 >  403,936126708984 17,2571811676025 400 
 < 15:56:48 >  403,936126708984 17,2571811676025 400 
 < 15:56:49 >  403,936126708984 17,2571811676025 400 
 < 15:56:50 >  404,402160644531 17,0835552215576 400 
 < 15:56:51 >  404,402160644531 17,0835552215576 400 
 < 15:56:52 >  404,402160644531 17,0721282958984 400 
 < 15:56:53 >  404,460784912109 16,7552165985107 400 
 < 15:56:54 >  404,460784912109 16,7552165985107 400 
 < 15:56:55 >  404,650604248047 16,7552165985107 400 
 < 15:56:56 >  405,269622802734 16,7170524597168 400 
 < 15:56:57 >  405,269622802734 16,7170524597168 400 
 < 15:56:58 >  405,269622802734 16,620189666748 400 
 < 15:56:59 >  405,44189453125 16,254919052124 400 
 < 15:57:00 >  405,565826416016 16,254919052124 400 
 < 15:57:01 >  405,565826416016 16,254919052124 400 
 < 15:57:02 >  405,189208984375 16,0991039276123 400 
 < 15:57:03 >  405,189208984375 15,9971446990967 400 
 < 15:57:04 >  405,189208984375 15,9971446990967 400 
 < 15:57:05 >  404,668731689453 15,9971446990967 400 
 < 15:57:06 >  404,355621337891 15,9532070159912 400 
 < 15:57:07 >  404,355621337891 15,9532070159912 400 
 < 15:57:08 >  404,040679931641 15,9511241912842 400 
 < 15:57:09 >  404,040679931641 15,9391613006592 400 
 < 15:57:10 >  404,040679931641 15,9391613006592 400 
 < 15:57:11 >  403,580078125 15,9391613006592 400 
 < 15:57:12 >  403,615692138672 15,9145441055298 400 
 < 15:57:13 >  403,615692138672 15,9145441055298 400 
 < 15:57:14 >  403,615692138672 15,8852872848511 400 
 < 15:57:15 >  402,984008789063 15,7941522598267 400 
 < 15:57:16 >  402,984008789063 15,7941522598267 400 
 < 15:57:17 >  402,232604980469 15,7941522598267 400 
 < 15:57:18 >  402,115356445313 15,8879642486572 400 
 < 15:57:19 >  402,115356445313 15,9533109664917 400 
 < 15:57:20 >  402,115356445313 15,9533109664917 400 
 < 15:57:21 >  401,863861083984 15,8767967224121 400 
 < 15:57:22 >  401,018188476563 15,8767967224121 400 
 < 15:57:23 >  401,018188476563 15,8767967224121 400 
 < 15:57:25 >  400,843475341797 15,8623962402344 400 
 < 15:57:26 >  400,843475341797 16,1444721221924 400 
 < 15:57:27 >  400,843475341797 16,1444721221924 400 
 < 15:57:28 >  400,527923583984 16,0538673400879 400 
 < 15:57:29 >  400,052215576172 16,0538673400879 400 
 < 15:57:30 >  400,052215576172 16,0538673400879 400 
 < 15:57:31 >  399,823089599609 16,1224136352539 400 
 < 15:57:32 >  399,823089599609 16,2846336364746 400 
 < 15:57:33 >  399,823089599609 16,2846336364746 400 
 < 15:57:34 >  399,129730224609 16,3019561767578 400 
 < 15:57:35 >  399,003387451172 16,3019561767578 400 
 < 15:57:36 >  399,003387451172 16,3019561767578 400 
 < 15:57:37 >  398,426086425781 16,5643062591553 400 
 < 15:57:38 >  398,426086425781 16,5144443511963 400 
 < 15:57:39 >  397,626953125 16,660816192627 400 
 < 15:57:40 >  397,626953125 16,660816192627 400 
 < 15:57:41 >  397,434722900391 16,660816192627 400 
 < 15:57:42 >  397,087127685547 16,985107421875 400 
 < 15:57:43 >  397,087127685547 16,985107421875 400 
 < 15:57:44 >  397,087127685547 16,9635982513428 400 
 < 15:57:45 >  397,009765625 17,1220245361328 400 
 < 15:57:46 >  397,009765625 17,1220245361328 400 
 < 15:57:47 >  397,200164794922 17,1220245361328 400 
 < 15:57:48 >  397,200164794922 17,1220245361328 400 
 < 15:57:49 >  397,200164794922 17,1220245361328 400 
 < 15:57:50 >  396,844116210938 17,1461639404297 400 
 < 15:57:51 >  396,613800048828 17,4165668487549 400 
 < 15:57:52 >  396,613800048828 17,4165668487549 400 
 < 15:57:53 >  396,041900634766 17,4165668487549 400 
 < 15:57:54 >  396,041900634766 17,5337696075439 400 
 < 15:57:55 >  396,041900634766 17,5337696075439 400 
 < 15:57:56 >  396,531585693359 17,730489730835 400 
 < 15:57:57 >  396,645233154297 17,730489730835 400 
 < 15:57:58 >  397,151214599609 17,6390476226807 400 
 < 15:57:59 >  397,151214599609 17,6390476226807 400 
 < 15:58:00 >  397,151214599609 17,7471103668213 400 
 < 15:58:01 >  397,215850830078 17,6849136352539 400 
 < 15:58:02 >  397,215850830078 17,6849136352539 400 
 < 15:58:03 >  397,852416992188 17,6849136352539 400 
 < 15:58:04 >  398,233245849609 17,7697658538818 400 
 < 15:58:05 >  398,233245849609 17,7697658538818 400 
 < 15:58:06 >  398,233245849609 17,6330394744873 400 
 < 15:58:07 >  398,550018310547 17,566219329834 400 
 < 15:58:08 >  398,550018310547 17,566219329834 400 
 < 15:58:09 >  399,012451171875 17,566219329834 400 
 < 15:58:10 >  398,785766601563 17,5788288116455 400 
 < 15:58:11 >  398,785766601563 17,5788288116455 400 
 < 15:58:12 >  398,785766601563 17,4723529815674 400 
 < 15:58:13 >  398,976776123047 17,63649559021 400 
 < 15:58:14 >  398,976776123047 17,63649559021 400 
 < 15:58:15 >  399,318939208984 17,63649559021 400 
 < 15:58:16 >  399,494842529297 17,645206451416 400 
 < 15:58:17 >  399,494842529297 17,645206451416 400 
 < 15:58:18 >  399,494842529297 17,5821151733398 400 
 < 15:58:19 >  399,684051513672 17,5272998809814 400 
 < 15:58:20 >  400,229309082031 17,5272998809814 400 
 < 15:58:21 >  400,229309082031 17,5272998809814 400 
 < 15:58:22 >  400,348388671875 17,5430068969727 400 
 < 15:58:23 >  400,348388671875 17,3242244720459 400 
 < 15:58:24 >  400,348388671875 17,3242244720459 400 
 < 15:58:25 >  400,412475585938 17,3286437988281 400 
 < 15:58:26 >  399,873870849609 17,3286437988281 400 
 < 15:58:27 >  399,873870849609 17,3286437988281 400 
 < 15:58:28 >  400,048553466797 17,332592010498 400 
 < 15:58:29 >  400,048553466797 17,5418434143066 400 
 < 15:58:30 >  400,048553466797 17,5418434143066 400 
 < 15:58:31 >  399,621185302734 17,5418434143066 400 
 < 15:58:32 >  399,564971923828 17,3717193603516 400 
 < 15:58:33 >  399,564971923828 17,3717193603516 400 
 < 15:58:34 >  399,743316650391 17,5777339935303 400 
 < 15:58:35 >  399,743316650391 17,5472984313965 400 
 < 15:58:37 >  399,743316650391 17,5472984313965 400 
 < 15:58:38 >  399,684051513672 17,5472984313965 400 
 < 15:58:39 >  399,382995605469 17,4711132049561 400 
 < 15:58:40 >  399,382995605469 17,4711132049561 400 
 < 15:58:41 >  399,382995605469 17,5238494873047 400 
 < 15:58:42 >  399,382995605469 17,6376075744629 400 
 < 15:58:43 >  399,671966552734 17,6376075744629 400 
 < 15:58:44 >  399,671966552734 17,6376075744629 400 
 < 15:58:45 >  399,318939208984 17,5916023254395 400 
 < 15:58:46 >  399,318939208984 17,4956111907959 400 
 < 15:58:47 >  399,318939208984 17,4956111907959 400 
 < 15:58:48 >  399,192596435547 17,6836547851563 400 
 < 15:58:49 >  399,25244140625 17,6836547851563 400 
 < 15:58:50 >  399,25244140625 17,6836547851563 400 
 < 15:58:51 >  399,25244140625 17,7109775543213 400 
 < 15:58:52 >  399,25244140625 17,7095527648926 400 
 < 15:58:53 >  399,25244140625 17,7095527648926 400 
 < 15:58:54 >  399,25244140625 17,6963424682617 400 
 < 15:58:55 >  399,012451171875 17,6963424682617 400 
 < 15:58:56 >  399,012451171875 17,6963424682617 400 
 < 15:58:57 >  398,896392822266 17,7377052307129 400 
 < 15:58:58 >  398,896392822266 17,8590717315674 400 
 < 15:58:59 >  398,642486572266 17,8834228515625 400 
 < 15:59:00 >  398,642486572266 17,8834228515625 400 
 < 15:59:01 >  398,300964355469 17,8834228515625 400 
 < 15:59:02 >  398,300964355469 17,9757347106934 400 
 < 15:59:03 >  398,300964355469 17,9757347106934 400 
 < 15:59:04 >  398,300964355469 18,1739902496338 400 
 < 15:59:05 >  398,059753417969 18,109375 400 
 < 15:59:06 >  398,059753417969 18,109375 400 
 < 15:59:07 >  398,183715820313 18,109375 400 
 < 15:59:08 >  398,183715820313 18,2520561218262 400 
 < 15:59:09 >  398,183715820313 18,2520561218262 400 
 < 15:59:10 >  398,531280517578 18,208101272583 400 
 < 15:59:11 >  398,468994140625 18,2100238800049 400 
 < 15:59:12 >  398,468994140625 18,2100238800049 400 
 < 15:59:13 >  398,594146728516 18,2100238800049 400 
 < 15:59:14 >  398,536743164063 18,265645980835 400 
 < 15:59:15 >  398,536743164063 18,265645980835 400 
 < 15:59:16 >  398,536743164063 18,2296028137207 400 
 < 15:59:17 >  398,773681640625 18,2296028137207 400 
 < 15:59:18 >  398,773681640625 18,3329582214355 400 
 < 15:59:19 >  398,773681640625 18,3329582214355 400 
 < 15:59:20 >  398,773681640625 18,2667617797852 400 
 < 15:59:21 >  398,941131591797 18,293815612793 400 
 < 15:59:22 >  398,941131591797 18,293815612793 400 
 < 15:59:23 >  398,708984375 18,293815612793 400 
 < 15:59:24 >  398,708984375 18,2590656280518 400 
 < 15:59:25 >  398,708984375 18,2590656280518 400 
 < 15:59:26 >  398,708984375 18,4035129547119 400 
 < 15:59:27 >  399,139984130859 18,503475189209 400 
 < 15:59:28 >  399,139984130859 18,503475189209 400 
 < 15:59:29 >  399,139984130859 18,503475189209 400 
